ARGX,30-Oct-2020,253.28,253.95,246.25,248.13,105600
ARKR,30-Oct-2020,10.0494,10.075,10,10.05,2600
ARLP,30-Oct-2020,3.22,3.35,3.2,3.22,265800
ARNA,30-Oct-2020,83.4,87.9,82.0482,85.72,993400
AROW,30-Oct-2020,27.06,27.69,27.06,27.37,23100
ARPO,30-Oct-2020,1.3,1.35,1.28,1.34,455900
ARQT,30-Oct-2020,21.18,21.185,17.53,17.82,296500
ARRY,30-Oct-2020,36.96,37.25,34.5,36.85,1181000
ARTL,30-Oct-2020,0.49,0.49,0.455,0.4578,613400
ARTLW,30-Oct-2020,0.0573,0.0746,0.0514,0.053,18100
ARTNA,30-Oct-2020,35.16,35.67,35.035,35.23,23800
ARTW,30-Oct-2020,2.34,2.3694,2.3,2.34,41300
ARVN,30-Oct-2020,21.92,22.04,20.5,20.91,544300
ARWR,30-Oct-2020,57.13,58.58,55.57,57.3,1039400
ARYA,30-Oct-2020,10.15,10.29,10.15,10.24,2000
ASLN,30-Oct-2020,1.62,1.69,1.62,1.6599,21500
ASMB,30-Oct-2020,14.96,14.96,14.1995,14.74,240400
ASML,30-Oct-2020,363.81,365.825,359.01,361.21,821100
ASND,30-Oct-2020,163.56,164.59,161.01,163.35,66000
ASO,30-Oct-2020,14.53,15,14.51,14.7,728500
ASPS,30-Oct-2020,11.3,11.44,10.77,11.13,49700
ASPU,30-Oct-2020,9.76,9.8691,9.25,9.38,173100
ASRT,30-Oct-2020,0.65,0.65,0.6011,0.62,488600
ASRV,30-Oct-2020,2.82,2.82,2.74,2.76,9800
ASRVP,30-Oct-2020,27.04,27.8385,27.04,27.8385,200
ASTC,30-Oct-2020,2.03,2.14,1.92,1.99,1617600
ASTE,30-Oct-2020,50.73,51.2,50.26,50.8,145400
ASUR,30-Oct-2020,7.16,7.26,6.91,7.07,54500
ASYS,30-Oct-2020,5.41,5.46,5.25,5.32,15100
ATAX,30-Oct-2020,3.85,4.02,3.82,3.96,180900
ATCX,30-Oct-2020,6.74,7,6.53,6.85,8600
